Year,Category,NumRequests,NumRepbySCF,ProblemType;
2009,1,3000,0,Illegal Dumping;
2009,2,500,0,Building Maintenance;
2009,3,1000,0,Electrical;
2009,4,100,0,Street Sweeping;
2009,5,100,0,Graffiti;
2009,6,400,0,Road Repair;
2009,7,50,0,Drainage;
2009,8,50,0,Street Lights;
2009,9,50,0,Vegetation Control;
2009,10,50,0,Survey;
2009,11,5300,0,TOTAL;
2010,1,5000,500,IllegalDumping;
2010,2,2400,48,BuildingMaintenance;
2010,3,3000,150,Electrical;
2010,4,400,60,StreetSweeping;
2010,5,950,47.5,Graffiti;
2010,6,500,25,RoadRepair;
2010,7,150,22.5,Drainage;
2010,8,50,10,StreetLights;
2010,9,50,5,VegetationControl;
2010,10,50,2.5,Survey;
2010,11,12550,870.5,TOTAL;
2011,1,6500,1300,IllegalDumping;
2011,2,4000,400,BuildingMaintenance;
2011,3,3200,320,Electrical;
2011,4,1000,200,StreetSweeping;
2011,5,900,360,Graffiti;
2011,6,750,75,RoadRepair;
2011,7,300,60,Drainage;
2011,8,50,12.5,StreetLights;
2011,9,50,5,VegetationControl;
2011,10,50,5,Survey;
2011,11,16800,2737.5,TOTAL;
2012,1,7200,3240,IllegalDumping;
2012,2,4500,675,BuildingMaintenance;
2012,3,3300,660,Electrical;
2012,4,1100,330,StreetSweeping;
2012,5,1000,550,Graffiti;
2012,6,900,180,RoadRepair;
2012,7,400,100,Drainage;
2012,8,100,30,StreetLights;
2012,9,50,7.5,VegetationControl;
2012,10,50,5,Survey;
2012,11,18600,5777.5,TOTAL
